Forecast comparison report: original vs improved
==========================================================================================

SIDE-BY-SIDE FORECAST NUMBERS
------------------------------------------------------------------------------------------
  model               period   country_group            direction   old        new        abs_diff     pct_diff
  ----------------------------------------------------------------------------------------
  Holt-Winters        2026-04  3rd countries           inbound     32,516    32,516           0       0.00%
  Holt-Winters        2026-04  3rd countries           outbound    28,577    28,577           0       0.00%
  Holt-Winters        2026-04  Schengen/EL/EMP/CH      inbound     36,637    36,637           0       0.00%
  Holt-Winters        2026-04  Schengen/EL/EMP/CH      outbound    32,526    32,526           0       0.00%
  Holt-Winters        2026-05  3rd countries           inbound     27,168    27,168           0       0.00%
  Holt-Winters        2026-05  3rd countries           outbound    24,859    24,859           0       0.00%
  Holt-Winters        2026-05  Schengen/EL/EMP/CH      inbound     31,321    31,321           0       0.00%
  Holt-Winters        2026-05  Schengen/EL/EMP/CH      outbound    33,110    33,110           0       0.00%
  Holt-Winters        2026-06  3rd countries           inbound     38,599    38,599           0       0.00%
  Holt-Winters        2026-06  3rd countries           outbound    30,777    30,777           0       0.00%
  Holt-Winters        2026-06  Schengen/EL/EMP/CH      inbound     39,087    39,087           0       0.00%
  Holt-Winters        2026-06  Schengen/EL/EMP/CH      outbound    38,037    38,037           0       0.00%
  Holt-Winters        2026-07  3rd countries           inbound     37,048    37,048           0       0.00%
  Holt-Winters        2026-07  3rd countries           outbound    33,113    33,113           0       0.00%
  Holt-Winters        2026-07  Schengen/EL/EMP/CH      inbound     41,153    41,153           0       0.00%
  Holt-Winters        2026-07  Schengen/EL/EMP/CH      outbound    44,481    44,481           0       0.00%
  Holt-Winters        2026-08  3rd countries           inbound     37,191    37,191           0       0.00%
  Holt-Winters        2026-08  3rd countries           outbound    36,646    36,646           0       0.00%
  Holt-Winters        2026-08  Schengen/EL/EMP/CH      inbound     42,536    42,536           0       0.00%
  Holt-Winters        2026-08  Schengen/EL/EMP/CH      outbound    43,764    43,764           0       0.00%
  Holt-Winters        2026-09  3rd countries           inbound     40,595    40,595           0       0.00%
  Holt-Winters        2026-09  3rd countries           outbound    42,733    42,733           0       0.00%
  Holt-Winters        2026-09  Schengen/EL/EMP/CH      inbound     42,444    42,444           0       0.00%
  Holt-Winters        2026-09  Schengen/EL/EMP/CH      outbound    48,240    48,240           0       0.00%
  Linear regression   2026-04  3rd countries           inbound     43,844    43,070         774      -1.77%
  Linear regression   2026-04  3rd countries           outbound    42,292    40,931       1,361      -3.22%
  Linear regression   2026-04  Schengen/EL/EMP/CH      inbound     52,086    52,985         899       1.73%
  Linear regression   2026-04  Schengen/EL/EMP/CH      outbound    50,151    53,297       3,146       6.27%
  Linear regression   2026-05  3rd countries           inbound     44,804    43,793       1,011      -2.26%
  Linear regression   2026-05  3rd countries           outbound    43,491    44,086         595       1.37%
  Linear regression   2026-05  Schengen/EL/EMP/CH      inbound     53,293    55,205       1,912       3.59%
  Linear regression   2026-05  Schengen/EL/EMP/CH      outbound    51,463    52,448         985       1.91%
  Linear regression   2026-06  3rd countries           inbound     45,764    47,361       1,597       3.49%
